City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Funtua,0,NG,1613875025,26,11.5233,7.3081,60.51,10.25
81,Tsaratanana,81,MG,1613875255,83,-16.7833,47.65,73.18,5.86
82,Ostroh,100,UA,1613875255,98,50.3294,26.5143,27.63,7.31
83,Kaitangata,0,NZ,1613875255,74,-46.2817,169.8464,66.99,7.0
84,Cidreira,26,BR,1613875255,81,-30.1811,-50.2056,72.57,6.62
85,Tuktoyaktuk,75,CA,1613875256,76,69.4541,-133.0374,-20.2,11.5
86,Hobyo,99,SO,1613875256,78,5.3505,48.5268,76.19,16.93
87,Lakselv,90,NO,1613875257,61,70.0513,24.9718,8.6,25.32
88,Moosomin,19,CA,1613875204,95,50.1333,-101.6677,20.37,11.59
89,Bethel,1,US,1613875257,43,41.3712,-73.414,28.4,13.8
90,Punta Cardon,5,VE,1613875257,81,11.6581,-70.215,76.48,19.84
91,Aksarka,100,RU,1613875258,83,66.5606,67.7975,-29.96,10.25
92,Jamestown,90,US,1613875258,93,42.097,-79.2353,19.99,12.66
93,Balikpapan,20,ID,1613875258,89,-1.2675,116.8289,82.4,9.22
94,Coquimbo,0,CL,1613875046,88,-29.9533,-71.3436,60.8,5.75
95,Nyagan,100,RU,1613875259,87,62.1406,65.3936,-21.37,6.69
96,Yellowknife,90,CA,1613875259,71,62.456,-114.3525,-7.01,9.22
97,Stuttgart,0,DE,1613875259,87,48.7823,9.177,45.0,2.82
98,Narsaq,90,GL,1613875260,79,60.9167,-46.05,19.4,2.3
99,Pāsighāt,0,IN,1613875028,32,28.0667,95.3333,76.42,1.3
100,Chui,0,UY,1613875260,60,-33.6971,-53.4616,60.89,2.55
101,Gamba,100,GA,1613875261,85,-2.65,10.0,77.0,2.59
102,Sabha,36,LY,1613875261,40,27.0377,14.4283,51.42,9.37
103,Tasiilaq,90,GL,1613875261,80,65.6145,-37.6368,32.0,23.02
104,Sandūr,100,IN,1613875261,74,15.1,76.55,69.6,10.4
105,Yeppoon,40,AU,1613875262,36,-23.1333,150.7333,95.0,9.22
106,Kerrville,1,US,1613875095,76,30.0474,-99.1403,48.0,8.05
107,Waterloo,1,CA,1613875258,85,43.4668,-80.5164,17.01,5.75
108,Tytuvėnai,90,LT,1613875262,100,55.6,23.2,33.8,11.5
109,Nikolskoye,90,RU,1613875263,93,59.7035,30.7861,21.2,11.18
110,Saint-Philippe,0,RE,1613875263,78,-21.3585,55.7679,77.0,6.91
111,Dikson,100,RU,1613875263,90,73.5069,80.5464,-10.91,8.25
112,Grindavik,40,IS,1613875264,81,63.8424,-22.4338,37.4,8.05
113,Meghri,100,AM,1613875264,88,38.9029,46.2446,29.8,6.15
114,Shuyskoye,94,RU,1613875264,89,59.3736,41.0305,-14.33,2.91
115,Moose Factory,1,CA,1613875264,72,51.2585,-80.6094,5.0,4.61
116,Emba,100,KZ,1613875265,93,48.8264,58.1442,1.29,2.86
117,Saldanha,1,ZA,1613875265,77,-33.0117,17.9442,57.2,2.3
118,Cherskiy,100,RU,1613875265,85,68.75,161.3,-27.0,4.32
119,Okhotsk,100,RU,1613875265,87,59.3833,143.3,8.69,12.3
120,Penzance,90,GB,1613875266,93,50.1186,-5.5371,48.2,11.5
121,Angoram,65,PG,1613875266,50,-4.0625,144.0661,93.13,3.24
122,Cayenne,75,GF,1613875266,89,4.9333,-52.3333,78.8,4.61
123,Cape Town,75,ZA,1613875267,77,-33.9258,18.4232,63.0,3.44
124,Onverwacht,0,SR,1613875267,94,5.5833,-55.1833,77.0,2.3
125,Namatanai,15,PG,1613875267,69,-3.6667,152.4333,85.5,5.79
126,Sogod,100,PH,1613875268,86,10.3847,124.9814,77.36,5.84
127,Cabo San Lucas,1,MX,1613875086,68,22.8909,-109.9124,66.2,6.91
128,Verkhnyaya Inta,41,RU,1613875268,80,65.9811,60.3094,-39.44,5.61
129,Myrtle Beach,1,US,1613875215,65,33.6891,-78.8867,39.2,5.06
130,Les Cayes,0,HT,1613875220,77,18.2,-73.75,73.15,4.27
131,San Patricio,1,US,1613875269,76,28.017,-97.5169,55.4,10.36
132,Alpena,75,US,1613875061,54,45.0617,-83.4327,24.8,4.61
133,Omboué,99,GA,1613875269,83,-1.5746,9.2618,77.29,1.99
134,São Gabriel da Cachoeira,100,BR,1613875269,98,-0.1303,-67.0892,72.93,1.81
135,Laguna,1,US,1613875270,54,38.421,-121.4238,54.0,5.75
136,Broome,90,US,1613875270,86,42.2506,-75.833,19.99,10.36
137,Sooke,100,CA,1613875028,81,48.3746,-123.7276,42.8,18.41
138,George,75,ZA,1613875270,67,-33.963,22.4617,62.6,8.05
139,Kalabo,100,ZM,1613875271,93,-14.97,22.6814,67.24,9.55
140,Arraial do Cabo,0,BR,1613875271,89,-22.9661,-42.0278,76.35,2.28
141,Rawson,0,AR,1613874995,37,-43.3002,-65.1023,64.11,12.91
142,Coyhaique,0,CL,1613875271,54,-45.5752,-72.0662,55.4,3.44
143,Qaanaaq,0,GL,1613875271,72,77.484,-69.3632,-31.43,3.6
144,Vanimo,99,PG,1613875272,74,-2.6741,141.3028,83.19,1.41
145,La Reforma,0,MX,1613875272,79,25.0833,-108.05,64.99,3.51
146,Adrar,0,MR,1613875272,23,20.5022,-10.0711,63.84,6.8
147,Xinzhi,8,CN,1613875273,26,36.4989,111.7047,59.95,2.93
148,Bambous Virieux,40,MU,1613875273,83,-20.3428,57.7575,79.0,6.91
149,Baoding,100,CN,1613875273,21,38.8511,115.4903,65.93,3.56
150,Chapais,1,CA,1613875274,85,49.7834,-74.8492,1.4,2.57
151,Thompson,75,CA,1613875274,85,55.7435,-97.8558,12.2,4.61
152,Nemuro,75,JP,1613875274,59,43.3236,145.575,30.2,8.05
153,Provideniya,90,RU,1613875274,77,64.3833,-173.3,-4.0,13.42
154,Saint-Louis,0,SN,1613875275,24,16.3333,-15.0,69.67,15.08
155,Ilorin,0,NG,1613875275,37,8.5,4.55,70.02,3.87
156,Padang,20,ID,1613875275,62,-0.9492,100.3543,86.0,2.3
157,Bodītī,88,ET,1613875275,90,6.9667,37.8667,56.61,4.09
158,Baruun-Urt,40,MN,1613875276,89,46.6806,113.2792,12.54,11.56
159,Eha Amufu,45,NG,1613875147,45,6.6592,7.7596,70.59,4.43
160,Huntington,1,US,1613875276,86,38.4193,-82.4452,21.99,2.57
161,Batemans Bay,0,AU,1613875276,85,-35.7167,150.1833,84.0,9.89
162,Hamilton,1,US,1613875276,73,39.1834,-84.5333,24.8,2.95
163,Nantucket,90,US,1613875277,59,41.2835,-70.0995,28.99,19.57
164,Yar-Sale,98,RU,1613875277,83,66.8333,70.8333,-33.83,8.84
165,Klaksvík,75,FO,1613875277,93,62.2266,-6.589,44.6,16.11
166,Msanga,20,TZ,1613875277,83,-6.05,36.0333,68.0,0.38
167,Saskylakh,1,RU,1613875278,84,71.9167,114.0833,-29.58,1.03
168,Ostrovnoy,95,RU,1613875278,88,68.0531,39.5131,-16.78,8.81
169,Naze,20,JP,1613875278,55,28.3667,129.4833,66.2,9.22
170,Aklavik,18,CA,1613875278,69,68.2191,-135.0107,-16.6,3.44
171,Hastings,99,GB,1613875279,71,50.8552,0.5729,52.0,3.0
172,Puerto Ayora,62,EC,1613875158,91,-0.7393,-90.3518,78.01,1.99
173,Barsovo,40,RU,1613875279,76,61.1667,73.1667,-22.0,8.95
174,Antón Lizardo,40,MX,1613875279,82,19.05,-95.9833,64.99,3.44
175,Tiksi,35,RU,1613875280,84,71.6872,128.8694,-25.69,2.39
176,Kastamonu Province,0,TR,1613875280,93,41.5,33.6667,14.34,0.83
177,Metsavan,40,AM,1613875280,79,41.2016,44.2288,14.0,2.55
